symbol,Date,Open,High,Low,Close,Volume
BAJFINANCE,2025-03-03,848.3651660469169,859.7748047479977,838.6352262949131,857.4938354492188,8749960
BAJFINANCE,2025-03-04,846.9936242997427,856.6440983385812,846.1438871064984,853.3295288085938,7655060
BAJFINANCE,2025-03-05,840.3147901790081,844.7871929652949,817.0582714259784,824.7806396484375,16300920
BAJFINANCE,2025-03-06,831.3700372857354,840.7918803410525,822.4798865712621,835.9269409179688,8814220
BAJFINANCE,2025-03-07,835.8325039404815,841.8056564981108,831.514179365264,835.2958374023438,4729460
BAJFINANCE,2025-03-10,838.6004613783617,858.4926706153201,827.4989192194664,829.143798828125,10164530
BAJFINANCE,2025-03-11,825.4068110389812,832.3638822939756,816.0893048938993,828.9300537109375,8135670
BAJFINANCE,2025-03-12,828.9946504740712,847.2222036981539,822.1817094501092,843.2417602539062,20882230
BAJFINANCE,2025-03-13,844.7872128755555,850.7504167311477,834.1528205342469,836.8809814453125,12173510
BAJFINANCE,2025-03-17,834.7689920428901,857.702491749256,833.4570799489434,852.7728881835938,11020850
BAJFINANCE,2025-03-18,852.7728881835938,852.7728881835938,852.7728881835938,852.7728881835938,0
BAJFINANCE,2025-03-19,864.6645816925422,882.4548312583717,862.9352622348928,867.80517578125,12898200
BAJFINANCE,2025-03-20,867.1492515262393,871.4278431326916,848.8769908298905,862.64208984375,7924330
BAJFINANCE,2025-03-21,898.4510853028386,903.3260336366491,877.684208188832,886.1420288085938,27448010
BAJFINANCE,2025-03-24,904.016767704254,905.9101141747293,887.2254196184903,903.430419921875,14332170
BAJFINANCE,2025-03-25,906.9039760074562,920.3261597052347,892.1997252390364,901.1643676757812,17482600
BAJFINANCE,2025-03-26,904.6230299913868,907.0927757475704,879.5676127668488,881.167724609375,8862110
BAJFINANCE,2025-03-27,880.665851905712,899.9866359964568,876.8146158486542,894.86328125,20920440
BAJFINANCE,2025-03-28,894.2420355740359,897.3528450203148,880.6657745285638,889.0739135742188,9770990
BAJFINANCE,2025-04-01,872.9435387462231,887.0266223080821,861.7823669999043,864.4857177734375,11834240
BAJFINANCE,2025-04-02,867.6461544278009,870.6128337649217,855.9185323993194,861.6083984375,6464950
BAJFINANCE,2025-04-03,859.6952734008631,871.1247481339382,840.8316901659209,854.1892700195312,13966330
BAJFINANCE,2025-04-04,860.2915347763417,874.3051004964104,853.1158417860235,866.5380249023438,18496580
BAJFINANCE,2025-04-07,828.88536880857,854.7756011098094,825.6205412588924,851.5455322265625,13981240
BAJFINANCE,2025-04-08,859.6952348126595,881.8584639941574,859.6952348126595,876.8145751953125,14775630
BAJFINANCE,2025-04-09,876.0940070852985,878.7774608727485,857.2105287703573,868.2225952148438,10487740
BAJFINANCE,2025-04-11,877.0929006731593,891.8468322003135,875.6667034684273,886.6389770507812,10097220
BAJFINANCE,2025-04-15,919.8738723686932,923.3027267044474,901.9842608717287,908.4940795898438,12633610
BAJFINANCE,2025-04-16,909.3389010517598,911.5254212506245,890.9026747124733,900.095947265625,7198220
BAJFINANCE,2025-04-17,898.4560458944406,913.3640555055209,889.7100257214428,910.6309204101562,11415130
BAJFINANCE,2025-04-21,911.3763392226595,925.7874154699099,908.5438416039183,921.662841796875,7824150
BAJFINANCE,2025-04-22,923.7996428449733,933.53953012096,917.3395054824209,920.3707885742188,11293580
BAJFINANCE,2025-04-23,922.5076876550555,929.1168691450222,909.3886264850682,926.58251953125,10818710
BAJFINANCE,2025-04-24,956.1003887587165,960.0758581506445,921.61317965157,924.39599609375,18496710
BAJFINANCE,2025-04-25,925.340181044901,928.7193542881375,893.486744714233,905.6119384765625,10893540
BAJFINANCE,2025-04-28,902.4315563508615,906.9039594385034,894.5302987638576,903.7235717773438,9946560
BAJFINANCE,2025-04-29,907.4008931149081,908.9910566150634,890.5051481171497,903.7235717773438,11768180
BAJFINANCE,2025-04-30,878.5787472966435,883.3492984982109,850.3528899743571,858.15478515625,39690570
BAJFINANCE,2025-05-02,852.2909530058361,886.0327624284678,851.3467668699565,881.4112548828125,18933030
BAJFINANCE,2025-05-05,882.3057617507878,897.7603872927656,881.1627900057229,887.7223510742188,8930610
BAJFINANCE,2025-05-06,885.6351674724266,891.8965802788989,869.6339274712942,874.3547973632812,12040870
BAJFINANCE,2025-05-07,869.633928985005,894.232145833438,866.9504750148244,893.138916015625,11635570
BAJFINANCE,2025-05-08,892.1947079369587,901.8849143356405,872.1185758813663,877.8333129882812,12018090
BAJFINANCE,2025-05-09,860.8648380276228,873.9021887339279,856.3863504309473,859.9691162109375,12151340
BAJFINANCE,2025-05-12,880.6697141980056,898.683161916931,878.3309120482104,897.5386352539062,10638220
BAJFINANCE,2025-05-13,896.0956196341344,911.9693213122264,894.8017857507431,899.87744140625,13363000
BAJFINANCE,2025-05-14,900.1760232176907,906.6946986887787,896.8918110693861,903.7587890625,7594000
BAJFINANCE,2025-05-15,905.5999805101645,917.0947533876722,898.484136910891,914.4573974609375,10385000
BAJFINANCE,2025-05-16,914.4573733738861,924.1607630754637,908.9836663627398,912.3176879882812,6251920
BAJFINANCE,2025-05-19,912.3176982188571,924.5091366985775,912.3176982188571,921.1253662109375,7162740
BAJFINANCE,2025-05-20,925.3550226969597,926.5492981730328,902.5645339784703,903.5597534179688,8106160
BAJFINANCE,2025-05-21,905.6496987494479,923.5636488346017,898.5338553904952,915.3530883789062,7321500
BAJFINANCE,2025-05-22,915.3530762980172,915.5023835107727,902.7137773116312,909.5310668945312,6159740
BAJFINANCE,2025-05-23,909.5310964586229,924.2105836173697,906.7444333524313,919.9310913085938,4251690
BAJFINANCE,2025-05-26,921.0755964137837,929.1866591884672,920.5779866912479,922.5186767578125,5476790
BAJFINANCE,2025-05-27,922.5684564101424,924.5588953667985,909.9291568867003,912.7157592773438,7150000
BAJFINANCE,2025-05-28,920.0803973123589,925.0067458230633,909.7300905574115,922.3196411132812,6507400
BAJFINANCE,2025-05-29,920.5779851422767,923.5138946489728,911.6210101517032,916.0,7081750
BAJFINANCE,2025-05-30,917.0,920.3499755859375,912.0999755859375,918.0499877929688,15041740
BAJFINANCE,2025-06-02,913.0,916.5,904.0,911.8499755859375,6619630
BAJFINANCE,2025-06-03,910.5999755859375,912.7999877929688,897.0,897.9000244140625,9080270
BAJFINANCE,2025-06-04,897.5,903.9500122070312,896.4500122070312,898.7000122070312,5544930
BAJFINANCE,2025-06-05,898.7000122070312,898.7000122070312,886.9500122070312,893.4000244140625,7853320
BAJFINANCE,2025-06-06,894.5,943.4000244140625,887.5999755859375,937.1500244140625,19783860
BAJFINANCE,2025-06-09,955.0,978.7999877929688,940.2999877929688,960.75,23496010
BAJFINANCE,2025-06-10,970.0,970.0,948.5499877929688,949.75,9044040
BAJFINANCE,2025-06-11,949.0,957.0,940.4000244140625,942.5,11860810
BAJFINANCE,2025-06-12,944.9000244140625,953.2999877929688,935.5,936.8499755859375,12388330
BAJFINANCE,2025-06-13,915.0,936.5499877929688,914.7000122070312,933.0999755859375,10182020
BAJFINANCE,2025-06-16,956.0,956.0,925.0,938.0,7016290
BAJFINANCE,2025-06-17,941.5,943.5,917.5,923.0,6110175
BAJFINANCE,2025-06-18,927.0,932.5,915.0,919.0,5002923
BAJFINANCE,2025-06-19,919.0,922.5,894.0,900.5,6585940
BAJFINANCE,2025-06-20,897.0,907.5,886.0,905.0,14320241
BAJFINANCE,2025-06-23,899.0,918.0,890.5,915.5,5870597
BAJFINANCE,2025-06-24,920.0,936.0,914.5,916.5,11555634
BAJFINANCE,2025-06-25,918.0,930.0,916.0,928.0,6623799
BAJFINANCE,2025-06-26,930.0,953.5,928.5,951.5,11677790
BAJFINANCE,2025-06-27,950.0,959.5,936.0,947.0,21637194
BAJFINANCE,2025-06-30,956.0,956.0,934.0,936.5,6086081
BAJFINANCE,2025-07-01,932.5,941.7999877929688,928.0,936.6500244140625,5381327
BAJFINANCE,2025-07-02,933.0,939.8499755859375,914.0,923.0,9394493
BAJFINANCE,2025-07-03,922.0,924.5,905.2000122070312,910.1500244140625,7606558
BAJFINANCE,2025-07-04,922.0,940.7000122070312,919.0,925.2999877929688,10613046
BAJFINANCE,2025-07-07,925.0,929.2999877929688,918.0999755859375,924.6500244140625,3383973
BAJFINANCE,2025-07-08,918.7999877929688,929.5,918.7999877929688,927.6500244140625,3851432
BAJFINANCE,2025-07-09,926.5,946.0,924.0,940.5999755859375,5341529
BAJFINANCE,2025-07-10,943.0,951.7000122070312,942.25,947.6500244140625,5409906
BAJFINANCE,2025-07-11,938.7000122070312,947.1500244140625,931.5499877929688,933.5,4278038
BAJFINANCE,2025-07-14,932.0,932.0,911.2999877929688,918.8499755859375,6657978
BAJFINANCE,2025-07-15,919.0,930.5999755859375,918.0,928.4000244140625,3892075
BAJFINANCE,2025-07-16,924.0,927.0,919.4000244140625,921.75,3952491
BAJFINANCE,2025-07-17,925.9500122070312,926.25,916.0,923.2999877929688,4583882
BAJFINANCE,2025-07-18,920.5,944.9000244140625,920.0,942.0,7893820
BAJFINANCE,2025-07-21,938.9000244140625,951.0,937.3499755859375,948.4500122070312,4660232
BAJFINANCE,2025-07-22,955.0,962.0,940.0,952.5499877929688,6237382
BAJFINANCE,2025-07-23,954.0,970.9500122070312,953.6500244140625,968.2999877929688,9694991
BAJFINANCE,2025-07-24,970.0,970.0,954.0,958.9500122070312,5189112
BAJFINANCE,2025-07-25,906.4000244140625,924.9000244140625,898.0,913.75,24415481
BAJFINANCE,2025-07-28,909.25,913.75,879.0,880.5,14011284
BAJFINANCE,2025-07-29,875.0499877929688,894.0,873.5,886.5499877929688,11323854
BAJFINANCE,2025-07-30,890.9500122070312,892.5999755859375,875.0,884.8499755859375,5054496
BAJFINANCE,2025-07-31,872.0,887.8499755859375,868.0,881.2000122070312,6999179
BAJFINANCE,2025-08-01,884.7999877929688,895.8499755859375,873.0,875.5999755859375,5300299
BAJFINANCE,2025-08-04,874.0,886.75,873.7000122070312,885.2999877929688,3969985
BAJFINANCE,2025-08-05,889.0,893.5999755859375,882.4000244140625,891.9000244140625,4446791
BAJFINANCE,2025-08-06,888.0,895.5,874.5999755859375,876.6500244140625,4212648
BAJFINANCE,2025-08-07,871.0,882.0,867.25,879.0999755859375,5998002
BAJFINANCE,2025-08-08,877.0,888.2999877929688,876.0,877.1500244140625,3736916
BAJFINANCE,2025-08-11,877.1500244140625,888.2999877929688,872.75,877.7999877929688,5367926
BAJFINANCE,2025-08-12,877.2000122070312,884.9000244140625,851.5,853.0,8257312
BAJFINANCE,2025-08-13,854.5499877929688,864.0,849.0,860.0,10117225
BAJFINANCE,2025-08-14,860.0,866.9000244140625,855.4500122070312,861.4500122070312,5379250
BAJFINANCE,2025-08-18,875.0,919.6500244140625,875.0,905.2000122070312,16277779
BAJFINANCE,2025-08-19,905.9500122070312,909.9000244140625,890.5,902.2999877929688,5764382
BAJFINANCE,2025-08-20,900.5499877929688,902.0,886.0499877929688,887.7999877929688,5561646
BAJFINANCE,2025-08-21,888.0,901.2999877929688,884.0,895.5999755859375,6697533
BAJFINANCE,2025-08-22,895.0,903.9000244140625,892.0,894.5,6424895
BAJFINANCE,2025-08-25,902.0999755859375,908.0,898.1500244140625,900.7999877929688,5837876
BAJFINANCE,2025-08-26,899.9500122070312,901.9000244140625,873.5,876.25,6712926
BAJFINANCE,2025-08-28,870.2000122070312,884.5,869.7000122070312,876.8499755859375,8349342
BAJFINANCE,2025-08-29,870.8499755859375,888.0,870.8499755859375,877.8499755859375,5672446
BAJFINANCE,2025-09-01,877.8499755859375,894.7999877929688,877.8499755859375,889.3499755859375,4101526
BAJFINANCE,2025-09-02,895.0,899.5499877929688,886.1500244140625,890.0999755859375,6103185
BAJFINANCE,2025-09-03,892.7000122070312,898.8499755859375,880.0499877929688,896.2999877929688,5493809
BAJFINANCE,2025-09-04,915.0,948.0,912.25,934.75,21738706
BAJFINANCE,2025-09-05,942.0,942.3499755859375,932.0,937.5999755859375,5467260
BAJFINANCE,2025-09-08,937.5999755859375,949.6500244140625,935.6500244140625,944.2999877929688,5657331
BAJFINANCE,2025-09-09,944.0,949.4000244140625,940.0,948.4000244140625,5417393
BAJFINANCE,2025-09-10,951.0499877929688,969.6500244140625,947.7000122070312,967.9500122070312,6836239
BAJFINANCE,2025-09-11,968.0,975.9000244140625,965.5999755859375,970.25,5982627
BAJFINANCE,2025-09-12,972.25,1004.5999755859375,970.8499755859375,1003.25,11412561
BAJFINANCE,2025-09-15,999.0,1025.699951171875,998.0999755859375,1009.8499755859375,9989753
BAJFINANCE,2025-09-16,1005.8499755859375,1015.2999877929688,1000.0,1003.25,7602155
BAJFINANCE,2025-09-17,1010.0,1011.7999877929688,1000.3499755859375,1007.5,6995023
BAJFINANCE,2025-09-18,1007.0,1009.7999877929688,990.0,996.5,9738376
BAJFINANCE,2025-09-19,991.0,996.0,988.5999755859375,992.4500122070312,6736440
BAJFINANCE,2025-09-22,989.9500122070312,1010.9000244140625,989.0,1006.5,4250045
BAJFINANCE,2025-09-23,999.0,1028.800048828125,999.0,1025.5,10230040
BAJFINANCE,2025-09-24,1021.5,1036.0,1020.4000244140625,1029.75,6433184
BAJFINANCE,2025-09-25,1020.0,1031.0999755859375,1008.0,1012.75,16731453
BAJFINANCE,2025-09-26,1008.0499877929688,1010.5,981.0499877929688,985.0999755859375,9109737
BAJFINANCE,2025-09-29,990.0,997.7999877929688,981.0999755859375,990.9500122070312,5804877
BAJFINANCE,2025-09-30,990.0,1002.2999877929688,989.4500122070312,998.9000244140625,7182200
BAJFINANCE,2025-10-01,991.5,1000.0,977.75,987.7000122070312,6932272
BAJFINANCE,2025-10-03,975.0,992.2000122070312,972.0,989.75,7692197
BAJFINANCE,2025-10-06,993.0,1023.0,992.0999755859375,1008.9000244140625,9299635
BAJFINANCE,2025-10-07,1008.9000244140625,1029.5,1008.9000244140625,1016.5499877929688,7991437
BAJFINANCE,2025-10-08,1012.0499877929688,1028.0,1012.0499877929688,1023.1500244140625,4448915
BAJFINANCE,2025-10-09,1023.0,1029.0,1014.9500122070312,1024.0999755859375,4444154
BAJFINANCE,2025-10-10,1018.0999755859375,1027.5,1017.0,1023.8499755859375,3714548
BAJFINANCE,2025-10-13,1023.8499755859375,1040.0,1021.5,1036.75,7684523
BAJFINANCE,2025-10-14,1040.0,1042.0999755859375,1011.3499755859375,1019.1500244140625,7668358
BAJFINANCE,2025-10-15,1026.0,1063.0,1018.4000244140625,1059.9000244140625,10205158
BAJFINANCE,2025-10-16,1062.0,1081.0999755859375,1058.8499755859375,1065.75,9901992
BAJFINANCE,2025-10-17,1056.0999755859375,1076.449951171875,1056.0999755859375,1070.0999755859375,5761670
BAJFINANCE,2025-10-20,1081.5,1086.5,1072.199951171875,1081.0,5700858
BAJFINANCE,2025-10-21,1084.9000244140625,1089.0,1081.0,1086.5,911624
BAJFINANCE,2025-10-23,1090.0,1102.5,1083.9000244140625,1094.1500244140625,11143407
BAJFINANCE,2025-10-24,1093.5,1098.5999755859375,1087.4000244140625,1089.75,6440277
BAJFINANCE,2025-10-27,1090.949951171875,1094.0,1075.75,1084.4000244140625,7366175
BAJFINANCE,2025-10-28,1078.0,1092.4000244140625,1063.050048828125,1072.75,12324341
BAJFINANCE,2025-10-29,1072.0,1079.1500244140625,1061.25,1062.949951171875,5386803
BAJFINANCE,2025-10-30,1063.0,1066.800048828125,1045.0,1052.300048828125,4271927
BAJFINANCE,2025-10-31,1052.0,1069.449951171875,1041.4000244140625,1042.800048828125,5315632
BAJFINANCE,2025-11-03,1037.0,1048.0,1031.0,1043.0999755859375,4135617
BAJFINANCE,2025-11-04,1040.0,1060.4000244140625,1035.0,1057.0,6202540
BAJFINANCE,2025-11-06,1037.0,1052.800048828125,1035.0,1041.9000244140625,5776277
BAJFINANCE,2025-11-07,1039.0,1076.9000244140625,1034.199951171875,1066.5999755859375,6940923
BAJFINANCE,2025-11-10,1066.5999755859375,1088.0,1062.9000244140625,1085.0,5692236
BAJFINANCE,2025-11-11,1043.699951171875,1043.699951171875,997.0,1005.2000122070312,23762890
BAJFINANCE,2025-11-12,1011.0,1018.4000244140625,1008.7999877929688,1013.2000122070312,11131278
BAJFINANCE,2025-11-13,1012.5,1019.4000244140625,1003.5,1005.4000244140625,8503994
BAJFINANCE,2025-11-14,1004.9000244140625,1019.9000244140625,1002.5999755859375,1018.5,4381122
BAJFINANCE,2025-11-17,1021.0,1033.0,1017.0,1026.800048828125,6011603
BAJFINANCE,2025-11-18,1021.2000122070312,1024.0999755859375,1011.7000122070312,1013.5999755859375,4562185
BAJFINANCE,2025-11-19,1009.0,1016.0999755859375,1004.5999755859375,1005.5999755859375,5158832
BAJFINANCE,2025-11-20,1015.0,1031.699951171875,1007.2999877929688,1028.5999755859375,5459073
BAJFINANCE,2025-11-21,1020.0,1027.5999755859375,1001.5,1004.0999755859375,6304584
BAJFINANCE,2025-11-24,1005.0,1009.2999877929688,990.0,994.0,9574900
BAJFINANCE,2025-11-25,995.0,996.9000244140625,984.5,986.2000122070312,6376983
BAJFINANCE,2025-11-26,986.2000122070312,1012.7999877929688,981.2999877929688,1010.7000122070312,9772235
BAJFINANCE,2025-11-27,1015.5999755859375,1044.9000244140625,1010.9000244140625,1033.800048828125,12076038
BAJFINANCE,2025-11-28,1038.0,1043.5,1031.0,1037.5,4983147
BAJFINANCE,2025-12-01,1041.9000244140625,1042.0,1018.7999877929688,1021.0999755859375,6459837
BAJFINANCE,2025-12-02,1014.5,1036.0,1013.9000244140625,1025.5,6706145
BAJFINANCE,2025-12-03,1021.0,1026.300048828125,1014.2000122070312,1021.4000244140625,5895670
BAJFINANCE,2025-12-04,1018.0,1032.300048828125,1016.0,1029.0999755859375,5404918
BAJFINANCE,2025-12-05,1028.9000244140625,1061.0,1026.5,1048.0,13123572
BAJFINANCE,2025-12-08,1048.0,1049.800048828125,1023.0,1026.4000244140625,5189635
BAJFINANCE,2025-12-09,1025.0,1026.0,1013.7000122070312,1016.7000122070312,5968501
BAJFINANCE,2025-12-10,1016.0,1021.7000122070312,1007.2999877929688,1010.2999877929688,4990527
BAJFINANCE,2025-12-11,1011.9000244140625,1020.5,1000.0999755859375,1006.4000244140625,4670539
BAJFINANCE,2025-12-12,1000.0,1020.7999877929688,1000.0,1017.2999877929688,4381711
BAJFINANCE,2025-12-15,1015.0,1016.5,1008.0,1012.7000122070312,3958977
BAJFINANCE,2025-12-16,1007.5,1010.5999755859375,996.5,998.4000244140625,3861617
BAJFINANCE,2025-12-17,1000.0,1011.2000122070312,995.2999877929688,999.5999755859375,4695550
BAJFINANCE,2025-12-18,1002.0999755859375,1009.7000122070312,995.0,1000.2999877929688,3103997
BAJFINANCE,2025-12-19,1003.2000122070312,1014.0,1002.5,1008.2999877929688,5126009
BAJFINANCE,2025-12-22,1008.2999877929688,1015.4000244140625,1005.0,1007.7999877929688,3921237
BAJFINANCE,2025-12-23,1013.5,1018.0,1005.7000122070312,1011.4000244140625,4712043
